Id	Count	File(s)
8L4	2	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L4_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L4_R2.fastq
8L12	2456	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L12_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L12_R2.fastq
4SP2	6026	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP2_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP2_R2.fastq
4SP10	8146	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP10_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP10_R2.fastq
4SP18	4740	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP18_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP18_R2.fastq
4SP26	3133	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP26_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP26_R2.fastq
4SP27	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP27_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP27_R2.fastq
4SP35	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP35_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP35_R2.fastq
4SP43	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP43_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP43_R2.fastq
4SP51	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP51_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP51_R2.fastq
8SP7	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP7_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP7_R2.fastq
8SP15	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP15_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP15_R2.fastq
plasma-5	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-5_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-5_R2.fastq
4ST98	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST98_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST98_R2.fastq
4ST100	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST100_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST100_R2.fastq
4ST102	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST102_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST102_R2.fastq
4ST104	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST104_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4ST104_R2.fastq
8ST14	1	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST14_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8ST14_R2.fastq
4SP28	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP28_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP28_R2.fastq
4SP36	3	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP36_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP36_R2.fastq
4SP44	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP44_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP44_R2.fastq
4SP52	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP52_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP52_R2.fastq
8SP8	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP8_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP8_R2.fastq
8SP16	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP16_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8SP16_R2.fastq
plasma-6	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-6_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/plasma-6_R2.fastq
